© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
EP300	transcription regulator	 	2	 	 	-0.378	2.50E-05	9.20E-03	AR,BCL6,BTK,CREBBP,EP300,ESR1,FOXA2,GATA4,HIF1A,HNF4A,JUN,MYOD1,NFE2L2,PDX1,SP1,STAT3,TFAP2A,TP53,XBP1	ALCAM,CASP3,COG7,CPNE1,CSNK2B,EIF3G,ENAH,ERLEC1,FAM120A,GNAQ,HMGCL,MACROH2A2,MANF,MBP,MECP2,MLF1,MYCBP,NUCKS1,OAS2,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,SCIN,SH3GLB1,UBA1	28 (19)	18	BIRC5,BMP15,cyanocobalamin,folic acid,IFNG,IRF5,Mapk,riboflavin,TAS-103	CCS1477,EID1,NRBP2,salsalate,tretinoin	 	BDKRB2,CRYAA/CRYAA2,Cyclin A,Cyclin B,ELF3,ELL,FOS,GAST,HLA-B,KDM3A,MDM2,MMP7,NCOA,PDK4,PLA2G4A,RORC,SKP2,SOX2	BCL6,CHEK2,LAMC2,MYC,phosphorylcholine	 	 	 	 	
IFNG	cytokine	 	2	 	 	-1.029	2.50E-05	2.10E-02	26s Proteasome,CEBPB,ERN1,FOXO3,IFNG,IL4,MAPK1,MYC,NFKBIA,NR3C1,ODC1,p70 S6k,PPARD,RAF1,RB1,STAT4,STAT6,STK11,TNF,TP53	ADD3,ALCAM,BID,CASP3,CKAP5,COX5B,CSNK2B,DYNLT1,EIF3D,EIF3G,ERLEC1,FAM120A,GNAQ,HADHB,KYAT3,LARS1,MACROH2A2,MECP2,MLF1,MYCBP,NIT1,NPEPPS,NUDT21,OAS2,PABPC4,PLS1,PML,PRDX2,PSMC2,RANBP2,SH3GLB1,TUBA4A,UBA1,UBR4	34 (20)	20	4-hydroxytamoxifen,ACE2,azoxymethane,brefeldin A,bromodeoxyuridine,CD226,CD244,CD27,CD47,chondroitin sulfate A,CTTN,dichloroacetic acid,FCMR,GnRH analog,IFNAR1,IFNE,Klra7 (includes others),lenalidomide,mir-19,Mir122a,b,MNK1/2,MTORC2,MTPN,MYBL2,NFATC2,PLCE1,PTGER2,PYCARD,ranitidine,SPHK2,stallimycin,TARDBP,TNFSF15,tretinoin,TRG,TSC2	2-deoxyglucose,8-oxo-7-hydrodeoxyguanosine,acadesine,ADAM15,AKT2,APLN,CD247,CREBBP,delta-9-tetrahydrocannabinol,EGFR,erythromycin,GAST,GATA1,GPR183,HAVCR2,imatinib,IQGAP1,L-685,458,LILRB1,lovastatin,MGAT5,minocycline,mir-132,misoprostol,N6-cyclohexyladenosine,naringenin,OPRD1,pirinixic acid,prednisolone,prostaglandin D2,SCGB1A1,sirolimus,testosterone,TPCA-1,TPSD1,TRIM27,TRIM29,TXN,valsartan	 	ACE,ARG2,ATF4,ATG13,BAK1,CASP7,CCL20,CCNA1,CDK5,CDX2,CEBPD,CHEK2,CIRBP,Ck2,CRKL,CSE1L,DAPK1,DAXX,DOK1,EGOT,EP300,GDF15,H6PD,HLA-B,HLA-DQ,HSP90AA1,HSPA1A/HSPA1B,ID1,Ifn gamma,IFNGR,IL-2R,IRF5,LAMC2,mir-23,MMP12,MRAS,Muscarinic cholinergic receptor,neopterin,Nos,NTF4,peroxynitrite,PFKFB3,PKR dimer,PML,PSEN2,PTPRB,PTX3,S100A10,SLC16A3,SNAI2,TFDP1,TGM1,TIMP3,TNFAIP6,TNFRSF14,TP73,UBE2E1,XAF1,ZYX	26s Proteasome,ACTB,ADRA2A,AGTR1,Agtr1b,BDNF,BDNF-AS,BMF,BUB1B,CAK,CCL1,CCND2,CDK6,Cyclin A,EIF4EBP1,GPER1,HSPA5,HSPA8,IgG1,IL17RB,Ins1,LATS1,LPAR4,MDM2,MMP13,NOS1,ODC1,RAP2B,RPL23A,RPS6KB1,SGPL1,SKP2	 	 	 	 	
TRIM39	other	 	3	 	 	-0.180	2.51E-05	1.53E-02	CDKN1A,CTNNB1,E2F1,ERBB2,FOXO3,GLI1,HIF1A,HNF4A,mir-145,MYC,NR3C1,p70 S6k,PGR,SP1,TP53,TRIM39	ADD3,ALCAM,BID,CASP3,CLIC1,COX5B,DFFA,EIF3D,EPS15,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MECP2,MLF1,NPEPPS,NUCKS1,NUDT21,PABPC4,PML,PRDX2,RANBP2,RPS12,SH3GLB1,SNRPD1,TUBA4A,UBA1	31 (16)	15	 	 	 	 	 	 	 	 	 	
SIRT7	enzyme	 	2	 	 	0.655	2.54E-05	1.90E-03	EPAS1,GATA4,HIF1A,MTOR,MYC,SIRT7,TP53	ADD3,BID,COX5B,EIF3D,EIF3G,FAM120A,GNAQ,HMGCL,MACROH2A2,MANF,MBP,NPEPPS,NUCKS1,NUDT21,PML,PRDX2,RANBP2,RPS12,S100A6,SNRPD1,UBA1	21 (7)	6	 	 	 	MTOR	EPAS1,MYC	 	 	 	 	
bicalutamide	chemical drug	 	3	 	 	-0.180	2.59E-05	9.30E-03	Akt,AR,ATM,bicalutamide,CEBPB,CHEK2,Clathrin,CREBBP,DDIT3,E2F3,EGFR,ELF4,FOXO3,HIF1A,HSF1,IRF4,Jnk,KRAS,MYC,NEDD9,ODC1,PDX1,PGR,POU5F1,PPARGC1A,PTEN,RET,RICTOR,RUNX2,SMARCA4,SRC,TP53,WBP2	ABRACL,AKAP9,BID,CASP3,CKAP5,CSNK2B,CSTF3,DFFA,DYNLT1,EIF3D,EPS15,HMGCL,HSPA2,KYAT3,LARS1,MACROH2A2,MANF,MBP,MYCBP,NPEPPS,NUCKS1,OAS2,PCMT1,PDAP1,PSMC2,RPS12,SEPTIN2,SPA17,TCP1,TUBA4A,UBA1	31 (33)	30	 	 	 	CHEK2	Cyclin A,EGFR,FOS,KLK4,MHC Class II (complex),NCOR1,SPINK1	 	 	 	 	
AFAP1	other	 	3	 	 	1.976	2.60E-05	1.41E-02	AFAP1,AR,c-Src,Clathrin,CTNNB1,EGFR,ERBB2,ERK1/2,ESR1,GSK3B,HNF4A,IRF4,KRAS,MAPK1,mir-21,MKNK1,MYC,NEDD9,PIK3CA,RAF1,RB1,RET,SRC,STAT3,WBP2	ADD3,AKAP9,ALCAM,ATP6V1F,CASP3,CKAP5,COG7,COX5B,CPNE1,EIF3D,EIF3G,EPS15,HADHB,HSPA2,MANF,MECP2,NIT1,NUCKS1,NUDT21,OAS2,PCMT1,PDAP1,PML,RPS12,S100A6,SCIN,SEPTIN2,SH3GLB1,SPA17,TCP1,TUBA4A	31 (25)	22	 	 	 	 	 	 	 	 	 	
NHLRC1	enzyme	 	3	 	 	-1.826	2.60E-05	1.87E-02	26s Proteasome,beta-estradiol,E2F1,EGFR,EPM2A,ERN1,ESR1,FOXO3,GSK3B,MAPK1,NHLRC1,ODC1,p70 S6k,PRKAA2,PRKAG1,tamoxifen,TP53	ALCAM,ATP6V1F,CLIC1,COG7,CPNE1,CSNK2B,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,FAM120A,GNAQ,HADHB,HSPA2,IFT140,LARS1,MACROH2A2,MECP2,MLF1,MYCBP,NPEPPS,PABPC4,PDAP1,PLS1,PSMC2,RANBP2,RPS12,SCIN,SH3GLB1	30 (17)	13	 	 	 	26s Proteasome	 	 	 	 	 	
HLA-DQ	complex	 	3	 	 	-0.730	2.62E-05	1.70E-02	AR,BCL6,CEBPB,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,FOXO3,GATA1,GSK3B,HIF1A,HLA-DQ,HLA-DQA1,MAP2K1/2,MAPK1,MITF,MKNK1,MYC,NFATC2,NFE2L2,NR1I3,p70 S6k,PGR,PPARA,RAF1,RB1,SP1,TCF3	ALCAM,ATP6V1F,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,EPS15,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MANF,MECP2,MYCBP,NIT1,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PML,RANBP2,S100A6,SH3GLB1,SNRPD1	30 (29)	26	IFNG	 	 	FOS,NFATC2	 	 	 	 	 	
GMFB	growth factor	-0.269	3	 	 	0.343	2.63E-05	2.55E-02	26s Proteasome,ATF6,CAT,CEBPB,CSF2,CXCL8,DDIT3,EGFR,ESR1,GMFB,HIF1A,HSF1,hydrogen peroxide,IRF4,LEP,MKNK1,MYC,NFAT5,NFkB (complex),P38 MAPK,p70 S6k,PGR,PPARA,PPARGC1A,RB1,RET,Sod,SOD1,TP53	AKAP9,ATP6V1F,BID,CASP3,COG7,COX5B,CPNE1,DFFA,DYNLT1,EIF3D,ENAH,EPS15,GNAQ,HMGCL,HSPA2,KYAT3,MACROH2A2,MANF,MTPN,MYCBP,NIT1,NUCKS1,NUDT21,PABPC4,PLS1,PML,PRDX2,PSMC2,RANBP2,RBBP9,RPS12,SCIN,SNRPD1,TCP1	34 (29)	26	Ck2,testosterone	gentamicin,TFAP4	 	 	 	 	 	 	 	
N6-cyclohexyladenosine	chemical reagent	 	3	 	 	0.174	2.68E-05	2.22E-02	AR,BCL6,CEBPB,CHUK,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,FOXO3,GATA1,HIF1A,IKBKB,MAPK1,MITF,MKNK1,MYC,N6-cyclohexyladenosine,NFE2L2,NR1I3,p70 S6k,PGR,PPARA,PPARG,RAF1,RB1,SP1,TCF3,TP53	ALCAM,ATP6V1F,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MBP,MECP2,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,RANBP2,RPS12,S100A6,SNRPD1	33 (29)	28	 	 	 	 	IFNG	 	 	 	 	
CDK6	kinase	 	2	 	 	0.626	2.69E-05	3.10E-03	AR,CDK6,CEBPA,DDIT3,E2F1,FOXM1,FOXO3,HSF1,MYC,MYOD1,PPARG,PPARGC1A,RB1,SIRT1	ATP6V1F,BID,CLIC1,COX5B,EIF3D,EIF3G,HADHB,HMGCL,KYAT3,LARS1,MLF1,MYCBP,NIT1,NPEPPS,NUDT21,OAS2,PCMT1,PRDX2,RANBP2,RPS12,SH3GLB1,SNRPD1,TCP1	23 (14)	13	benzene,CAK,CCND2,CCNH,CDK7,Cyclin D,EGF,FBXO7,methylmercury,PRKN,testosterone,trichloroethylene	abemaciclib,adaphostin,arsenic trioxide,FN-1501,GATA1,herbimycin,IFNG,INK4,let-7a-5p (and other miRNAs w/seed GAGGUAG),miR-125b-5p (and other miRNAs w/seed CCCUGAG),mir-21,palbociclib,PTGER4,RAP1GAP,Ro 25-6760,tretinoin	 	CDKN1C,Cyclin A,HSF1,ISL1,PFKFB3,RPS6KB1	FOXO3,TFDP1,TSC2	 	 	 	 	
GAL	other	 	3	 	 	0.000	2.71E-05	1.14E-02	Akt,AR,BAX,CASP3,CEBPB,E2F1,EGFR,ERBB2,ERK,ERK1/2,GAL,GATA1,HIF1A,Ins1,MMP3,MYC,NFE2L2,NR1I3,PDX1,POU5F1,PPARGC1A,PTEN,RICTOR,RPS6KB1,RUNX2,STAT5A,TCF3,TIMP1,TP53,WBP2	ADD3,BID,CASP3,CLIC1,CORO7/CORO7-PAM16,CSNK2B,CSTF3,DYNLT1,EIF3D,EIF3G,EPS15,FAM120A,GNAQ,HADHB,HMGCL,IPO5,MACROH2A2,MANF,MBP,NPEPPS,NUCKS1,NUDT21,PCMT1,PDAP1,PML,PRDX2,PSMC2,RBM8A,RPS12,S100A6,SEPTIN2,UBA1	32 (30)	25	diethylstilbestrol,ISL1	 	 	FOS,opioid,RPS6KB1	Ins1	 	 	 	 	
NPY1R	G-protein coupled receptor	 	3	 	 	0.000	2.72E-05	2.43E-02	ADCY,AR,ARRB1,BCL6,CEBPB,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,GATA1,GSK3B,HIF1A,MAPK1,MITF,MKNK1,MYC,NFE2L2,NPY1R,NR1I3,p70 S6k,PGR,PPARA,PPARG,RAF1,SP1,STK11,tamoxifen,TCF3,TH,TP53	ALCAM,ATP6V1F,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,IFT140,IPO5,KYAT3,MACROH2A2,MANF,MECP2,MYCBP,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,RANBP2,RPS12,S100A6,SH3GLB1,SNRPD1	32 (31)	28	 	 	 	 	FOS,Ins1	 	 	 	 	
dibutyryl cGMP	chemical reagent	 	3	 	 	0.928	2.73E-05	1.25E-02	APP,ARRB1,ATF4,CASP3,CEBPB,Creb,CREBBP,dibutyryl cGMP,EGFR,ERK1/2,ESR1,HIF1A,HSF1,KLF4,MAPK1,MAPK3,MKNK1,Na+,K+ -ATPase,NFE2L2,NR3C1,POU5F1,PPARGC1A,PTEN,RAF1,RARA,XBP1	CLIC1,COG7,COX5B,CPNE1,CSTF3,DFFA,DYNLT1,EIF3G,ENAH,EPS15,ERLEC1,HMGCL,HSPA2,KYAT3,LARS1,MANF,MECP2,MLF1,MYCBP,NUCKS1,NUDT21,OAS2,PLS1,PML,RANBP2,S100A6,SCIN,SNRPD1,TCP1	29 (26)	21	 	 	 	 	 	 	 	 	 	
binimetinib	chemical drug	 	3	 	 	0.174	2.74E-05	2.00E-02	AR,binimetinib,CEBPB,CREBBP,ERK1/2,ESR1,GATA1,HIF1A,HSF1,KLF4,MAP2K1,MAPK1,MKNK1,MYC,NFE2L2,NR1I3,p70 S6k,PGR,POU5F1,PPARA,PPARG,RAF1,RUNX2,STK11,TCF3,TP53	ATP6V1F,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EIF3G,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,MACROH2A2,MANF,MBP,MECP2,MYCBP,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PML,RANBP2,RPS12,S100A6,SNRPD1,TCP1	33 (26)	25	 	 	 	 	 	 	 	 	 	
TGM1	enzyme	 	3	 	 	0.354	2.78E-05	1.78E-02	APP,AR,BCL6,CEBPB,CTNNB1,E2F1,ERK1/2,ESR1,FOXO3,GATA1,GSK3B,HIF1A,HNF4A,HSF1,MAPK1,MAPK12,MAPK8,MITF,MKNK1,MYC,MYOD1,NR1I3,p70 S6k,PGR,PPARA,PPARG,RAF1,RICTOR,SP1,TCF3,TGM1,TP53	ALCAM,ATP6V1F,CASP3,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DYNLT1,EIF3D,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MECP2,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PSMC2,RANBP2,RPS12,S100A6,SH3GLB1,SNRPD1,TCP1	32 (32)	30	EGF,IFNG,MAP3K12,mir-21,MYC,nicotine,SOX2	cystamine,E2f,GATA3,POU5F1,tretinoin	 	MAPK12	 	 	 	 	 	
mir-124	microRNA	 	3	 	 	0.784	2.81E-05	6.50E-03	AR,CHUK,CTNNB1,ERK1/2,GSK3B,JUN,mir-124,mir-21,MYC,NFAT (complex),NFAT5,NFATC2,NFATC3,STAT3,TP53	ADD3,ALCAM,CASP3,CKAP5,COX5B,EIF3D,EIF3G,ENAH,FAM120A,GNAQ,HADHB,HSPA2,MACROH2A2,MBP,NPEPPS,NUCKS1,NUDT21,OAS2,PCMT1,PML,RANBP2,S100A6,SEPTIN2,SH3GLB1,SNRPD1,UBA1	26 (15)	13	BDNF,KLF2,tretinoin	FOS,POU5F1,SOX2	 	 	IQGAP1,NFATC2,SNAI2	 	 	 	 	
NDST1	enzyme	 	3	 	 	0.343	2.82E-05	2.46E-02	APP,AR,ARRB1,CEBPB,CREBBP,EGFR,ERBB,ERBB2,ERK1/2,ESR1,GATA1,HIF1A,HSF1,KLF4,MAPK1,MAPK3,MKNK1,MYC,NDST1,NFE2L2,NR1I3,p70 S6k,PGR,POU5F1,PPARA,PPARG,RAF1,RARA,TCF3,TP53,XBP1	CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DFFA,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,MACROH2A2,MANF,MECP2,MYCBP,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PML,RANBP2,RPS12,S100A6,SNRPD1,TCP1	34 (31)	28	tretinoin	 	 	ERBB	 	 	 	 	 	
IRF1	transcription regulator	 	3	 	 	-1.029	2.83E-05	1.75E-02	AR,CASP3,CASP8,CDK4,CEBPB,CREBBP,CSF2,CTSS,CXCL8,E2F1,ERK1/2,ESR1,FOXO3,GATA1,IFN Beta,IRF1,mir-145,mir-21,MKNK1,NFkB (complex),nitric oxide,NR1I3,ODC1,PGR,PPARA,PTEN,RB1,RUNX2,STAT,STAT1,STAT3,STAT6,TP53	ADD3,ATP6V1F,BID,CASP3,CKAP5,CLIC1,COG7,CORO7/CORO7-PAM16,CPNE1,CSNK2B,CSTF3,DFFA,DYNLT1,FAM120A,GNAQ,HADHB,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MTPN,MYCBP,NIT1,NPEPPS,PCMT1,PLS1,PML,PRDX2,RBBP9,RPS12,S100A6,SEPTIN2,UBA1	34 (33)	26	arsenic trioxide,bromodeoxyuridine,Cbp/p300,Ck2,CREBBP,gentamicin,Ifn gamma,IFNAR1,IFNGR,IFNGR2,Ifnz (includes others),JAK1/2,NCOA3,NFATC2,SMARCA4,stallimycin,Tlr12,Tlr13,tretinoin	Alpha catenin,BCL6,EGFR,ETV6-RUNX1,fludarabine,imatinib,lovastatin,mir-21,MTOR,NPM1,PIAS2,PTGER4	 	ADAM8,BAK1,CASP7,CTSS,IL12RB1,IRF5,MAP4K4,MYC,ODC1,PML,XAF1	CCL20,E2F3	 	 	 	 	
3,4-dichloroisocoumarin	chemical - protease inhibitor	 	3	 	 	0.730	2.85E-05	1.77E-02	26s Proteasome,3,4-dichloroisocoumarin,ADAM10,APP,beta-estradiol,CASP3,CEBPB,EGFR,ERN1,ESR1,HSF1,ODC1,PTEN,tamoxifen,TP53	ALCAM,ATP6V1F,CLIC1,COG7,CPNE1,CSNK2B,CSTF3,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,ERLEC1,FAM120A,GNAQ,HADHB,HSPA2,IFT140,MACROH2A2,MLF1,MYCBP,NPEPPS,PABPC4,PDAP1,PLS1,PSMC2,RANBP2,RPS12,SCIN,TCP1	30 (15)	12	 	 	 	ADAM10,HSF1	26s Proteasome,CASP7	 	 	 	 	
urethane	chemical toxicant	 	3	 	 	0.333	2.86E-05	2.39E-02	APP,CEBPB,CREBBP,CSF2,CXCL8,ESR1,FOXO3,HIF1A,HSF1,IGF1R,IRF4,KLF4,KRAS,MAPK1,MAPK3,Mek,MKNK1,MYC,NFE2L2,NFkB (complex),ODC1,p70 S6k,PGR,POU5F1,PPARG,RAF1,RAS,RASSF5,RB1,TCF7L2,TERT,TP53,urethane,XBP1	ATP6V1F,BID,CLIC1,COG7,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EIF3G,ERLEC1,GNAQ,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MECP2,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PLS1,RANBP2,RBBP9,RPS12,SCIN,SNRPD1,TCP1,TUBA4A	36 (34)	29	 	 	 	ODC1	 	 	 	 	 	
sirolimus	chemical drug	 	2	 	 	0.180	2.87E-05	1.59E-02	ERBB2,ERN1,FOXO3,GSK3B,HIF1A,INSR,MAPK1,MKNK1,MMP3,MYC,ODC1,p70 S6k,PPARG,RB1,RICTOR,sirolimus,TP53	ADD3,ATP6V1F,CASP3,CLIC1,COX5B,CSNK2B,CSTF3,EIF3D,EIF3G,EPS15,ERLEC1,HADHB,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MBP,MECP2,NIT1,NUCKS1,PABPC4,PML,PSMC2,RANBP2,RBM8A,RPS12,S100A6,SH3GLB1,SNRPD1,UBA1	31 (17)	17	 	 	 	ATG13,FOXO3,FPR1,HDAC5,KLF2,MFN2,mir-1,mir-19,mir-21,mir-214,mir-23,MKNK1,MYC,PDCD4,PI3K (complex),PML,TSC2,UCHL1,ULK1	ACTB,adenine-riboflavin dinucleotide,AMP,ARHGDIB,ATF4,BAG1,BIRC5,CCND2,CCR5,CHEK1,Cyclin A,Cyclin D,E2f,EIF4EBP1,EIF4EBP2,FOS,GATA3,HLA-B,HSP90AA1,HSPA5,ID1,IFNG,L-proline,LILRB1,Mapk,MAPK12,MDM2,miR-125b-5p (and other miRNAs w/seed CCCUGAG),mir-1275,mir-210,MMP13,MMP3,MTOR,MTORC2,neopterin,NEU1,NPM1,ODC1,OSCAR,phosphorylcholine,POSTN,Pp2b,PTP4A1,RORC,RPS14,RPS6KB1,TNFRSF11B,uridine,USP15	 	 	 	 	
TXN	enzyme	0.103	3	 	 	-0.845	2.91E-05	1.22E-02	Ap1,CSF2,CXCL8,EGFR,ERK1/2,ESR1,GAPDH,GATA1,GLI1,GSK3B,HIF1A,HSF1,JAK1,JAK2,KRAS,MAPK14,MAPK8,MMP3,MYC,MYOD1,NEDD9,NFkB (complex),NFKBIA,NR1I3,P38 MAPK,PTPN6,RAF1,RET,RPS6KA1,STAT4,TIMP1,TP53,TXN,WBP2	ADD3,AKAP9,CASP3,COG7,CORO7/CORO7-PAM16,CPNE1,EIF3D,EPS15,FAM120A,GNAQ,HADHB,HMGCL,IPO5,MACROH2A2,MANF,MBP,MTPN,NPEPPS,NUCKS1,NUDT21,OAS2,PDAP1,PRDX2,RANBP2,RBBP9,RBM8A,RPS12,S100A6,SEPTIN2,SH3GLB1,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	35 (34)	25	HSF2,lactacystin,MYC,paraquat,PARK7,pirinixic acid,puerarin	cadmium,PML,ST1926	 	BCL6,FOS,IL-2R,LEF1,Nos,POU5F1	8-oxo-7-hydrodeoxyguanosine,CCND2,EGFR,IFNG	 	 	 	 	
PTPN9	phosphatase	 	3	 	 	1.567	2.93E-05	1.80E-02	AR,EGFR,ERBB2,ESR1,GAB1,HIF1A,KRAS,MAPK1,mir-21,MYC,NEDD9,ODC1,PGR,PPARG,PTPN9,RAF1,RB1,SP1,STAT3,STAT6,tamoxifen,WBP2	ATP6V1F,CKAP5,COG7,COX5B,CPNE1,CSNK2B,EIF3D,EIF3G,EPS15,GNAQ,HMGCL,HSPA2,IFT140,MANF,MBP,MECP2,NIT1,NPEPPS,NUDT21,OAS2,PCMT1,PDAP1,PLS1,PML,PRDX2,RANBP2,RPS12,SCIN,SNRPD1,SPA17,TCP1,TUBA4A,UBA1	33 (22)	20	 	 	 	 	EGFR	 	 	 	 	
ginsenoside Re	chemical drug	 	3	 	 	-0.756	2.94E-05	1.32E-02	CASP3,CASP8,CDK2,CDX2,CEBPB,CHUK,CTNNB1,E2F1,E2F3,ELF4,ginsenoside Re,IRAK1,MAPK1,MYC,MYOD1,PGR,PRKN,PTEN,RB1,SMARCA4,SOX2,SP1,TP53	ABRACL,ALCAM,ATP6V1F,BID,CLIC1,COX5B,CSTF3,DYNLT1,EIF3D,EIF3G,ENAH,FAM120A,GNAQ,HSPA2,MACROH2A2,MANF,MECP2,NIT1,NPEPPS,NUCKS1,PABPC4,PRDX2,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1	28 (23)	19	 	 	 	 	 	 	 	 	 	
LAMA2	other	 	3	 	 	0.354	2.95E-05	2.09E-02	AKT1,AKT2,AR,CLOCK,CREBBP,ERN1,ESR1,FOXO3,FYN,GSK3B,HIF1A,ILK,LAMA2,LCK,NFE2L2,NR3C1,p70 S6k,PPARG,PTEN,RAF1,RB1,RET,RICTOR,SOX2,SP1,TP53	ADD3,AKAP9,ATP6V1F,COG7,CPNE1,CSNK2B,CSTF3,EIF3G,ERLEC1,FAM120A,HMGCL,LARS1,MACROH2A2,MANF,MBP,MECP2,MLF1,MTPN,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PSMC2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1	32 (26)	22	MYOC,PTP4A1	Alpha catenin	 	AKT2	 	 	 	 	 	
FBXW7	enzyme	 	3	 	 	0.000	2.97E-05	1.34E-02	CCNE1,CDK2,CDX2,CEBPA,CREBBP,Cyclin E,EGFR,ESR1,FBXW7,FOXM1,GATA1,HSF1,JUN,mir-22,MYB,MYC,NCOA3,NEDD9,NFE2L1,NOTCH1,NR3C1,p70 S6k,POU5F1,PPARGC1A,PPRC1,PTEN,RB1,SMARCA4,tamoxifen,TCF3,WBP2	ABRACL,ATP6V1F,COG7,COX5B,CPNE1,CSTF3,DFFA,EIF3D,EIF3G,ENAH,EPS15,HADHB,HMGCL,IFT140,IPO5,KYAT3,MLF1,MYCBP,NUDT21,OAS2,PABPC4,PDAP1,PRDX2,PSMC2,RANBP2,RPS12,S100A6,SCIN,SNRPD1,SPA17,TCP1,TUBA4A,UBA1,UBR4	34 (31)	23	vinblastine	BMI1,KDM1A,MDM2,mir-223,PSEN2,TFAP2C	 	EGFR	BIRC5,DNAJA1,HEY1,HSF1,HSPA8,MYC,NCOA3,PRKN	 	 	 	 	
